,neighborhood
0,Bellas Vistas
1,Cuatro Caminos
2,Castillejos
3,Almenara
4,Valdeacederas
5,Berruguete
6,Pavones
7,Horcajo
8,Marroquina
9,Media Legua
10,Fontarrón
11,Vinateros
12,Casco Histórico de Vallecas
13,Santa Eugenia
14,Ensanche de Vallecas
15,Casco Histórico de Vicálvaro
16,Valdebernardo
17,Valderrivas
18,El Cañaveral
19,Simancas
20,Hellín
21,Amposta
22,Arcos
23,Rosas
24,Rejas
25,Canillejas
26,El Salvador
27,Alameda de Osuna
28,Aeropuerto
29,Casco Histórico de Barajas
30,Timón
31,Corralejos
