,district,Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008
0,CENTRO,2508.8281216469295
1,ARGANZUELA,2700.7125355493554
2,RETIRO,1424.3037054622291
3,SALAMANCA,-123.28799664609323
4,CHAMARTÍN,426.41717413492006
5,TETUÁN,3.6486830826725054
6,CHAMBERÍ,1014.5841286385548
7,FUENCARRAL-EL PARDO,84.45296823726676
8,MONCLOA-ARAVACA,244.12506184587983
9,LATINA,501.7694459155209
10,CARABANCHEL,296.8897972008199
11,USERA,100.5833953224228
12,PUENTE DE VALLECAS,-273.8878048629249
13,MORATALAZ,474.5489072240525
14,CIUDAD LINEAL,670.8778760732894
15,HORTALEZA,1733.419956620979
16,VILLAVERDE,167.04984070026694
17,VILLA DE VALLECAS,615.9853242568352
18,VICÁLVARO,-91.10445989945583
19,SAN BLAS-CANILLEJAS,378.6772907858576
20,BARAJAS,1700.3634468166238
